Tax_id,Tax,rev_code,cal_year,fisc_year,month,plan_q,collections
rpt_q1,First Quarter Bill,00001,2024,2024,01,JAN," 122,724,874.00 "
rpt_q2,Second Quarter Bill,00002,2024,2024,01,JAN," 41,065,880.00 "
rpt_q3,Third Quarter Bill,00003,2024,2024,01,JAN," 591,518,911.00 "
rpt_q4,Fourth Quarter Bill,00004,2024,2024,01,JAN," 504,794,771.00 "
rpt_q1,First Quarter Bill,00001,2023,2023,01,JAN," 201,577,313.00 "
rpt_q2,Second Quarter Bill,00002,2023,2023,01,JAN," 487,762,664.00 "
rpt_q3,Third Quarter Bill,00003,2023,2023,01,JAN," 25,450,264.00 "
rpt_q4,Fourth Quarter Bill,00004,2023,2023,01,JAN," 22,761,894.00 "
rpt_q1,First Quarter Bill,00001,2024,2024,02,JAN," 788,972,618.00 "
rpt_q2,Second Quarter Bill,00002,2024,2024,02,JAN," 507,901,407.00 "
rpt_q3,Third Quarter Bill,00003,2024,2024,02,JAN," 728,729,198.00 "
rpt_q4,Fourth Quarter Bill,00004,2024,2024,02,JAN," 988,812,258.00 "
rpt_q1,First Quarter Bill,00001,2023,2023,02,JAN," 204,977,833.00 "
rpt_q2,Second Quarter Bill,00002,2023,2023,02,JAN," 144,185,207.00 "
rpt_q3,Third Quarter Bill,00003,2023,2023,02,JAN," 947,459,488.00 "
rpt_q4,Fourth Quarter Bill,00004,2023,2023,02,JAN," 500,396,119.00 "
rpt_q1,First Quarter Bill,00001,2024,2024,03,JAN," 884,946,760.00 "
rpt_q2,Second Quarter Bill,00002,2024,2024,03,JAN," 378,860,786.00 "
rpt_q3,Third Quarter Bill,00003,2024,2024,03,JAN," 88,593,496.00 "
rpt_q4,Fourth Quarter Bill,00004,2024,2024,03,JAN," 712,205,582.00 "
rpt_q1,First Quarter Bill,00001,2023,2023,03,JAN," 919,574,331.00 "
rpt_q2,Second Quarter Bill,00002,2023,2023,03,JAN," 498,587,994.00 "
rpt_q3,Third Quarter Bill,00003,2023,2023,03,JAN," 939,952,148.00 "
rpt_q4,Fourth Quarter Bill,00004,2023,2023,03,JAN," 806,018,508.00 "
rpt_q1,First Quarter Bill,00001,2021,2021,02,JAN," 290,461,711.00 "
rpt_q2,Second Quarter Bill,00002,2021,2021,02,JAN," 647,077,357.00 "
rpt_q3,Third Quarter Bill,00003,2021,2021,02,JAN," 468,402,998.00 "
rpt_q4,Fourth Quarter Bill,00004,2021,2021,02,JAN," 770,155,087.00 "
rpt_q1,First Quarter Bill,00001,2021,2021,03,JAN," 961,141,367.00 "
rpt_q2,Second Quarter Bill,00002,2021,2021,03,JAN," 159,995,539.00 "
rpt_q3,Third Quarter Bill,00003,2021,2021,03,JAN," 487,037,872.00 "
rpt_q4,Fourth Quarter Bill,00004,2021,2021,03,JAN," 310,123,725.00 "
rpt_q1,First Quarter Bill,00001,2021,2021,01,JAN," 457,167,120.00 "
rpt_q2,Second Quarter Bill,00002,2021,2021,01,JAN," 982,548,166.00 "
rpt_q3,Third Quarter Bill,00003,2021,2021,01,JAN," 877,691,305.00 "
rpt_q4,Fourth Quarter Bill,00004,2021,2021,01,JAN," 425,976,866.00 "
rpt_q1,First Quarter Bill,00001,2022,2022,02,JAN," 264,787,559.00 "
rpt_q2,Second Quarter Bill,00002,2022,2022,02,JAN," 337,352,758.00 "
rpt_q3,Third Quarter Bill,00003,2022,2022,02,JAN," 401,877,079.00 "
rpt_q4,Fourth Quarter Bill,00004,2022,2022,02,JAN," 887,810,433.00 "
rpt_q1,First Quarter Bill,00001,2022,2022,03,JAN," 751,550,427.00 "
rpt_q2,Second Quarter Bill,00002,2022,2022,03,JAN," 501,308,215.00 "
rpt_q3,Third Quarter Bill,00003,2022,2022,03,JAN," 678,957,359.00 "
rpt_q4,Fourth Quarter Bill,00004,2022,2022,03,JAN," 283,361,194.00 "
rpt_q1,First Quarter Bill,00001,2022,2022,01,JAN," 957,449,959.00 "
rpt_q2,Second Quarter Bill,00002,2022,2022,01,JAN," 35,646,071.00 "
rpt_q3,Third Quarter Bill,00003,2022,2022,01,JAN," 292,472,597.00 "
rpt_q4,Fourth Quarter Bill,00004,2022,2022,01,JAN," 61,191,749.00 "
rpt_q1,First Quarter Bill,00001,2024,2024,01,EXE," 547,832,580.00 "
rpt_q2,Second Quarter Bill,00002,2024,2024,01,EXE," 970,482,824.00 "
rpt_q3,Third Quarter Bill,00003,2024,2024,01,EXE," 344,010,053.00 "
rpt_q4,Fourth Quarter Bill,00004,2024,2024,01,EXE," 16,757,921.00 "
rpt_q1,First Quarter Bill,00001,2023,2023,01,EXE," 868,778,768.00 "
rpt_q2,Second Quarter Bill,00002,2023,2023,01,EXE," 320,617,578.00 "
rpt_q3,Third Quarter Bill,00003,2023,2023,01,EXE," 697,496,086.00 "
rpt_q4,Fourth Quarter Bill,00004,2023,2023,01,EXE," 562,897,038.00 "
rpt_q1,First Quarter Bill,00001,2024,2024,02,EXE," 488,184,634.00 "
rpt_q2,Second Quarter Bill,00002,2024,2024,02,EXE," 684,264,781.00 "
rpt_q3,Third Quarter Bill,00003,2024,2024,02,EXE," 107,542,526.00 "
rpt_q4,Fourth Quarter Bill,00004,2024,2024,02,EXE," 998,244,876.00 "
rpt_q1,First Quarter Bill,00001,2023,2023,02,EXE," 302,837,315.00 "
rpt_q2,Second Quarter Bill,00002,2023,2023,02,EXE," 187,760,393.00 "
rpt_q3,Third Quarter Bill,00003,2023,2023,02,EXE," 630,635,159.00 "
rpt_q4,Fourth Quarter Bill,00004,2023,2023,02,EXE," 164,419,654.00 "
rpt_q1,First Quarter Bill,00001,2024,2024,03,EXE," 166,903,692.00 "
rpt_q2,Second Quarter Bill,00002,2024,2024,03,EXE," 335,139,745.00 "
rpt_q3,Third Quarter Bill,00003,2024,2024,03,EXE," 514,710,176.00 "
rpt_q4,Fourth Quarter Bill,00004,2024,2024,03,EXE," 803,830,614.00 "
rpt_q1,First Quarter Bill,00001,2023,2023,03,EXE," 372,030,019.00 "
rpt_q2,Second Quarter Bill,00002,2023,2023,03,EXE," 101,292,032.00 "
rpt_q3,Third Quarter Bill,00003,2023,2023,03,EXE," 683,150,350.00 "
rpt_q4,Fourth Quarter Bill,00004,2023,2023,03,EXE," 749,118,543.00 "
rpt_q1,First Quarter Bill,00001,2021,2021,02,EXE," 358,083,266.00 "
rpt_q2,Second Quarter Bill,00002,2021,2021,02,EXE," 501,788,350.00 "
rpt_q3,Third Quarter Bill,00003,2021,2021,02,EXE," 942,458,910.00 "
rpt_q4,Fourth Quarter Bill,00004,2021,2021,02,EXE," 952,819,586.00 "
rpt_q1,First Quarter Bill,00001,2021,2021,03,EXE," 40,375,420.00 "
rpt_q2,Second Quarter Bill,00002,2021,2021,03,EXE," 133,451,540.00 "
rpt_q3,Third Quarter Bill,00003,2021,2021,03,EXE," 884,049,974.00 "
rpt_q4,Fourth Quarter Bill,00004,2021,2021,03,EXE," 351,807,437.00 "
rpt_q1,First Quarter Bill,00001,2021,2021,01,EXE," 558,211,550.00 "
rpt_q2,Second Quarter Bill,00002,2021,2021,01,EXE," 289,883,591.00 "
rpt_q3,Third Quarter Bill,00003,2021,2021,01,EXE," 652,491,479.00 "
rpt_q4,Fourth Quarter Bill,00004,2021,2021,01,EXE," 376,389,925.00 "
rpt_q1,First Quarter Bill,00001,2022,2022,02,EXE," 79,683,366.00 "
rpt_q2,Second Quarter Bill,00002,2022,2022,02,EXE," 429,004,541.00 "
rpt_q3,Third Quarter Bill,00003,2022,2022,02,EXE," 283,985,615.00 "
rpt_q4,Fourth Quarter Bill,00004,2022,2022,02,EXE," 544,949,515.00 "
rpt_q1,First Quarter Bill,00001,2022,2022,03,EXE," 140,849,327.00 "
rpt_q2,Second Quarter Bill,00002,2022,2022,03,EXE," 952,962,499.00 "
rpt_q3,Third Quarter Bill,00003,2022,2022,03,EXE," 141,460,337.00 "
rpt_q4,Fourth Quarter Bill,00004,2022,2022,03,EXE," 119,483,300.00 "
rpt_q1,First Quarter Bill,00001,2022,2022,01,EXE," 248,899,990.00 "
rpt_q2,Second Quarter Bill,00002,2022,2022,01,EXE," 184,113,940.00 "
rpt_q3,Third Quarter Bill,00003,2022,2022,01,EXE," 941,546,943.00 "
rpt_q4,Fourth Quarter Bill,00004,2022,2022,01,EXE," 284,443,659.00 "
